"","Criterion","K","N","Design"
"1","D","2","5","1 -1 -1 1 -1 -1 1 -1 1 -1"
"2","D","2","6","1 -1 -1 1 -1 -1 -1 1 1 1 -1 -1"
"3","D","2","7","1 -1 -1 1 1 -1 -1 -1 -1 1 -1 1 1 -1"
"4","D","2","8","1 -1 -1 1 -1 1 -1 1 -1 1 -1 1 1 -1 -1 1"
"5","D","2","9","1 -1 -1 1 1 -1 -1 1 -1 1 -1 1 -1 1 1 -1 -1 -1"
"6","D","2","10","-1 -1 1 -1 -1 1 1 -1 1 -1 1 -1 -1 1 1 -1 1 -1 1 -1"
"7","D","2","11","-1 1 -1 1 1 -1 -1 -1 1 1 -1 1 -1 1 -1 1 -1 -1 1 -1 1 -1"
"8","Robust D","2","5","1 -1 1 -1 0 1 -1 -1 1 0"
"9","Robust D","2","6","1 -1 1 -1 0 0 -1 1 1 -1 -1 1"
"10","Robust D","2","7","-1 -1 1 1 -1 1 1 -1 1 1 -1 0 1 -1"
"11","Robust D","2","8","-1 1 1 1 -1 -1 -1 1 -1 -1 1 -1 1 1 -1 1"
"12","Robust D","2","9","-1 1 1 -1 1 1 -1 -1 -1 -1 1 -1 1 -1 1 -1 -1 1"
"13","Robust D","2","10","-1 -1 -1 1 1 -1 1 1 -1 -1 -1 1 -1 -1 1 1 -1 1 -1 1"
"14","Robust D","2","11","-1 -1 -1 1 -1 1 -1 1 -1 1 1 1 -1 1 -1 -1 1 1 -1 -1 1 -1"
"15","A","2","5","-1 -1 1 1 -1 1 -1 -1 1 -1"
"16","A","2","6","-1 1 -1 1 -1 1 -1 1 1 -1 -1 -1"
"17","A","2","7","-1 -1 1 1 -1 -1 1 1 -1 1 -1 -1 1 -1"
"18","A","2","8","1 1 -1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 -1 1"
"19","A","2","9","-1 -1 1 1 1 -1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 -1"
"20","A","2","10","-1 1 1 -1 -1 1 1 -1 -1 1 -1 -1 1 -1 1 1 -1 -1 1 -1"
"21","A","2","11","-1 -1 1 1 -1 -1 1 1 1 -1 -1 1 -1 -1 1 1 -1 -1 1 -1 -1 1"
"22","Robust A","2","5","1 0 1 -1 -1 -1 0 1 1 -1"
"23","Robust A","2","6","1 1 -1 -1 0 0 1 -1 -1 1 -1 1"
"24","Robust A","2","7","1 -1 -1 -1 0.2 0.2 1 -1 -1 1 0 1 -1 1"
"25","Robust A","2","8","1 -1 1 1 1 -1 -1 -1 1 -1 -1 1 -1 1 1 -1"
"26","Robust A","2","9","1 -1 -1 -1 1 -1 -1 1 1 -1 1 -1 -1 1 1 -1 1 -1"
"27","Robust A","2","10","-1 1 -1 1 1 1 -1 -1 1 -1 -1 -1 -1 -1 1 -1 -1 1 1 1"
"28","Robust A","2","11","-1 -1 1 -1 1 1 1 1 -1 -1 -1 -1 1 -1 1 0 -1 1 1 -1 -1 1"
